tool_condition,model,g_max,k_star_at_g_max,k_star_trajectory,k_star_lo_trajectory,k_star_hi_trajectory,f (k=f*g),"c (k=min(g,c))",aic_proportional,aic_capacity,delta_AIC (cap - prop),evidence_ratio exp(delta/2),better_model
with_tools,Qwen3-30B-A3B-Instruct-2507,31,27,0:0;1:0;3:0;7:4;15:12;31:27,0:0;1:0;3:0;7:4;15:12;31:26,0:0;1:0;3:1;7:4;15:12;31:27,0.4700,0,7306.39,7565.42,259.03,1.77e+56,proportional
with_tools,Qwen3-30B-A3B-Thinking-2507,31,30,0:0;1:0;3:0;7:4;15:13;31:30,0:0;1:0;3:0;7:4;15:13;31:30,0:0;1:0;3:0;7:4;15:13;31:30,0.4700,0,22532.68,22573.42,40.74,7.04e+08,proportional
with_tools,Qwen3-4B-Instruct-2507,31,28,0:0;1:0;3:1;7:5;15:12;31:28,0:0;1:0;3:1;7:5;15:12;31:28,0:0;1:0;3:1;7:5;15:12;31:28,0.5000,0,25938.57,27718.55,1779.98,inf,proportional
with_tools,Qwen3-4B-Thinking-2507,31,30,0:0;1:0;3:2;7:6;15:14;31:30,0:0;1:0;3:2;7:6;15:14;31:30,0:0;1:0;3:2;7:6;15:14;31:30,0.8300,0,15631.43,19376.36,3744.93,inf,proportional
